conference	award_year	paper_title	if_tot	if_best_paper
ICML	2020	Modeling Interaction via the Principle of Maximum Causal Entropy	0	0
ICML	2020	Spherical Topic Models	0	0
ICML	2020	Probabilistic Backward and Forward Reasoning in Stochastic Relational Worlds	0	0
ICML	2020	Supervised Aggregation of Classifiers using Artificial Prediction Markets	0	0
ICML	2020	The Elastic Embedding Algorithm for Dimensionality Reduction	0	0
ICML	2020	Multiscale Wavelets on Trees, Graphs and High Dimensional Data: Theory and Applications to Semi Supervised Learning	0	0
ICML	2020	Generalization Bounds for Learning Kernels	0	0
ICML	2020	A Simple Algorithm for Nuclear Norm Regularized Problems	0	0
ICML	2020	On Sparse Nonparametric Conditional Covariance Selection	0	0
ICML	2019	Online dictionary learning for sparse coding	1	0
ICML	2019	Using fast weights to improve persistent contrastive divergence	0	0
ICML	2019	Spectral Clustering based on the graph p-Laplacian	0	0
ICML	2019	Importance weighted active learning	0	0
ICML	2019	MedLDA: maximum margin supervised topic models for regression and classification	0	0
ICML	2019	ABC-boost: adaptive base class boost for multi-class classification	0	0
ICML	2019	Multi-instance learning by treating instances as non-I.I.D. samples	0	0
ICML	2019	Fitting a graph to vector data	0	0
ICML	2019	Multiple Indefinite Kernel Learning with Mixed Norm Regularization	0	0
ICML	2019	Partial order embedding with multiple kernels	0	0
ICML	2018	A unified architecture for natural language processing: deep neural networks with multitask learning	1	0
ICML	2018	Stability of transductive regression algorithms	0	0
ICML	2018	Self-taught clustering	0	0
ICML	2018	An HDP-HMM for systems with state persistence	0	0
ICML	2018	No-regret learning in convex games	0	0
ICML	2018	Grassmann discriminant analysis: a unifying view on subspace-based learning	0	0
ICML	2018	Discriminative structure and parameter learning for Markov logic networks	0	0
ICML	2018	The skew spectrum of graphs	0	0
ICML	2018	Transfer of samples in batch reinforcement learning	0	0
ICML	2018	A worst-case comparison between temporal difference and residual gradient with linear function approximation	0	0
ICML	2018	Structure compilation: trading structure for features	0	0
ACL 	2023	Automatic Word Sense Discrimination	1	0
ACL 	2023	Similarity-based Word Sense Disambiguation	0	0
ACL 	2023	A Two Level Model for Context Sensitive Inference Rules	0	0
ACL 	2023	Adapting Discriminative Reranking to Grounded Language Learning	0	0
ACL 	2023	Additive Neural Networks for Statistical Machine Translation	0	0
ACL 	2023	Disambiguating Highly Ambiguous Words	0	0
ACL 	2023	Advancements in Reordering Models for Statistical Machine Translation	0	0
ACL 	2023	Improving Chinese Word Segmentation on Micro-blog Using Rich Punctuations	0	0
ACL 	2023	Using Corpus Statistics and WordNet Relations for Sense Identification	0	0
ACL 	2023	Topical Clustering of MRD Senses Based on Information Retrieval Techniques	0	0
ACL 	2023	Generation that Exploits Corpus-Based Statistical Knowledge	1	0
ACL 	2023	A Framework for Customizable Generation of Hypertext Presentations	0	0
ACL 	2023	Unification-based Multimodal Parsing	0	0
ACL 	2023	Joint Inference for Heterogeneous Dependency Parsing	0	0
ACL 	2023	IndoNet: A Multilingual Lexical Knowledge Network for Indian Languages	0	0
